"N° transaction","Statut","Date","Montant","Arrondi","Direction","Devise","IBAN du compte","Intitulé","IBAN du tiers","Moyen de paiement","Catégorie","Référence"
"000000000000000000000001","COMPLETE","2026-01-01T18:00:22.000Z","34.11","0","DEBIT","EUR","","Compte Courant","","UNKNOWN","TRANSFER","Fait depuis Green-Got"
"000000000000000000000002","COMPLETE","2026-01-01T18:00:51.000Z","68.22","0","CREDIT","EUR","","Compte Courant","","UNKNOWN","TRANSFER","Fait depuis Green-Got"
"000000000000000000000003","COMPLETE","2026-01-02T09:28:55.000Z","8.76","0.24","DEBIT","EUR","","LIBRAIRIE MERIDIEN","","ECOMMERCE","OTHER",""
"000000000000000000000004","COMPLETE","2026-01-02T10:38:59.000Z","0.9","0.1","DEBIT","EUR","","PARKING CENTRE VILLE","","CONTACTLESS_DEVICE","TRAVEL_TRANSPORTATION",""
"000000000000000000000005","COMPLETE","2026-01-02T11:06:18.000Z","5.18","0.82","DEBIT","EUR","","MEUBLES DU LAC","","CONTACTLESS_DEVICE","OTHER",""
"000000000000000000000006","COMPLETE","2026-01-02T15:48:37.000Z","500","0","CREDIT","EUR","FR7699999000010000000000001","SOCIETE EXEMPLE SARL","FR7699999000010000000000002","SEPA","INCOME","Loyer"
"000000000000000000000007","COMPLETE","2026-01-02T15:48:42.000Z","1500","0","CREDIT","EUR","FR7699999000010000000000001","SOCIETE EXEMPLE SARL","FR7699999000010000000000002","SEPA","INCOME","Salaire"
"000000000000000000000008","COMPLETE","2026-01-02T16:17:12.000Z","200","0","DEBIT","EUR","","Compte Courant","","UNKNOWN","TRANSFER","Fait depuis Green-Got"
"000000000000000000000009","COMPLETE","2026-01-02T18:45:49.000Z","120","0","DEBIT","EUR","","Marie Exemple","","UNKNOWN","TRANSFER","Fait depuis Green-Got"
"000000000000000000000010","COMPLETE","2026-01-03T12:57:19.000Z","5","0","DEBIT","EUR","","MEUBLES DU LAC","","CONTACTLESS_DEVICE","CLOTHING_BEAUTY",""
"000000000000000000000011","COMPLETE","2026-01-03T17:33:37.000Z","194","0","DEBIT","EUR","","ATELIER TEXTILE","","ECOMMERCE","CLOTHING_BEAUTY",""
"000000000000000000000012","COMPLETE","2026-01-04T10:57:04.000Z","12","0","DEBIT","EUR","FR7699999000010000000000001","Paul Exemple","FR7699999000010000000000003","SEPA","TRANSFER","Fait depuis Green-Got"
"000000000000000000000013","COMPLETE","2026-01-04T11:35:48.000Z","17.99","0.01","DEBIT","EUR","","BOUTIQUE EXEMPLE FR","","ECOMMERCE","CLOTHING_BEAUTY",""
"000000000000000000000014","COMPLETE","2026-01-04T12:18:31.000Z","18","0","CREDIT","EUR","","Compte Courant","","UNKNOWN","TRANSFER","remboursement"
"000000000000000000000015","COMPLETE","2026-01-05T09:07:03.000Z","947.26","0","DEBIT","EUR","FR7699999000010000000000001","Paul Exemple","FR7699999000010000000000003","SEPA","TRANSFER","echeance pret"
"000000000000000000000016","COMPLETE","2026-01-05T09:20:47.000Z","112.4","0","DEBIT","EUR","FR7699999000010000000000001","ASSURANCES DU PONANT","FR7699999000010000000000004","DIRECT_DEBIT","OTHER","CONTRAT 000000000"
"000000000000000000000017","COMPLETE","2026-01-05T09:22:14.000Z","70.51","0","DEBIT","EUR","FR7699999000010000000000001","ENERGIE VERTE SAS","FR7699999000010000000000005","DIRECT_DEBIT","OTHER","B 00000000"
"000000000000000000000018","COMPLETE","2026-01-06T02:36:15.000Z","194","0","CREDIT","EUR","","ATELIER TEXTILE","","UNKNOWN","CLOTHING_BEAUTY",""
"000000000000000000000019","COMPLETE","2026-01-08T08:48:57.000Z","973.7","0","CREDIT","EUR","FR7699999000010000000000001","Marie Exemple","FR7699999000010000000000006","SEPA","INCOME","from Marie Exemple"
"000000000000000000000020","COMPLETE","2026-01-10T23:58:05.000Z","6.99","0.01","DEBIT","EUR","","STREAMING EXEMPLE","","ECOMMERCE","OTHER",""
"000000000000000000000021","COMPLETE","2026-01-12T09:22:50.000Z","40.03","0","DEBIT","EUR","FR7699999000010000000000001","BORNE RECHARGE SAS","FR7699999000010000000000007","DIRECT_DEBIT","OTHER","INV00000000"
"000000000000000000000022","COMPLETE","2026-01-12T14:46:05.000Z","25.5","0.5","DEBIT","EUR","","CABINET MEDICAL NORD","","CONTACTLESS_DEVICE","HEALTH",""
"000000000000000000000023","COMPLETE","2026-01-13T14:24:23.000Z","2.65","0.35","DEBIT","EUR","","SUPERMARCHE ORVAULT","","CONTACTLESS_DEVICE","FOOD_GROCERIES",""
"000000000000000000000024","COMPLETE","2026-01-15T09:16:24.000Z","33","0","DEBIT","EUR","FR7699999000010000000000001","ADMINISTRATION FISCALE","FR7699999000010000000000008","DIRECT_DEBIT","OTHER","PRELEVEMENT A LA SOURCE REVENUS 2026"
"000000000000000000000025","COMPLETE","2026-01-15T11:19:53.000Z","103","0","CREDIT","EUR","FR7699999000010000000000001","ADMINISTRATION FISCALE","FR7699999000010000000000008","SEPA","INCOME","AVANCE CREDIT IMPOT"
"000000000000000000000026","COMPLETE","2026-01-15T17:43:38.000Z","4.07","0.93","DEBIT","EUR","","EPICERIE DU CANAL","","CONTACTLESS_DEVICE","FOOD_GROCERIES",""
"000000000000000000000027","COMPLETE","2026-01-16T11:28:53.000Z","12.75","0.25","DEBIT","EUR","","RESTO DU COIN","","CONTACTLESS_DEVICE","RESTAURANTS_BARS",""
"000000000000000000000028","COMPLETE","2026-01-18T17:45:59.000Z","5.1","0.9","DEBIT","EUR","","TRANSPORTS EXEMPLE","","ECOMMERCE","TRAVEL_TRANSPORTATION",""
"000000000000000000000029","COMPLETE","2026-01-19T19:05:19.000Z","9.99","0.01","DEBIT","EUR","","OPERATEUR EXEMPLE","","ECOMMERCE_STORED","COMMUNICATION_FINANCE",""
"000000000000000000000030","COMPLETE","2026-01-20T10:12:25.000Z","32","0","DEBIT","EUR","","Marie Exemple","","UNKNOWN","TRANSFER","Fait depuis Green-Got"
"000000000000000000000031","COMPLETE","2026-01-20T11:22:00.000Z","24","0","DEBIT","EUR","","Marie Exemple","","UNKNOWN","TRANSFER","Fait depuis Green-Got"
"000000000000000000000032","COMPLETE","2026-01-20T14:31:07.000Z","32","0","DEBIT","EUR","","Marie Exemple","","UNKNOWN","TRANSFER","Fait depuis Green-Got"
"000000000000000000000033","COMPLETE","2026-01-21T08:47:07.000Z","21.15","0.85","DEBIT","EUR","","ANIMALERIE EXEMPLE","","ECOMMERCE_STORED","OTHER",""
"000000000000000000000034","COMPLETE","2026-01-21T11:38:38.000Z","1.3","0.7","DEBIT","EUR","","BOULANGERIE DU PORT","","CONTACTLESS_DEVICE","FOOD_GROCERIES",""
"000000000000000000000035","COMPLETE","2026-01-23T09:28:06.000Z","13.45","0.55","DEBIT","EUR","","SUPERMARCHE ORVAULT","","CONTACTLESS_DEVICE","FOOD_GROCERIES",""
"000000000000000000000036","COMPLETE","2026-01-26T08:48:47.000Z","70","0","CREDIT","EUR","FR7699999000010000000000001","PLACE DE MARCHE SA","FR7699999000010000000000009","SEPA","INCOME","Vente en ligne"
"000000000000000000000037","COMPLETE","2026-01-27T16:48:26.000Z","43","0","DEBIT","EUR","","LIBRAIRIE MERIDIEN","","CONTACTLESS_DEVICE","SPORT_ENTERTAINMENT",""
"000000000000000000000038","COMPLETE","2026-01-28T00:40:01.000Z","6","0","DEBIT","EUR","","Abonnement Green-Got","","UNKNOWN","FEE",""
"000000000000000000000039","COMPLETE","2026-01-28T15:47:36.000Z","9.2","0","CREDIT","EUR","FR7699999000010000000000001","MUTUELLE EXEMPLE","FR7699999000010000000000010","SEPA","INCOME","Remboursement sante"
"000000000000000000000040","COMPLETE","2026-01-31T09:44:30.000Z","27.8","0.2","DEBIT","EUR","","EPICERIE DU CANAL","","CONTACTLESS_DEVICE","FOOD_GROCERIES",""
